"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\README.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\app\globals.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 10, 71
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\app\layout.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\app\page.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\ConversionButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\Converter.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 0, 10, 106
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\CurrencyChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 2, 13, 121
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\CurrencyInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\DateInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 1, 3, 21
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 4, 61
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\Homepage.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 7, 33
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 5, 47
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\ResetButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\Select.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\SwitchButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\components\TopFive.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 6, 8, 92
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\jsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\next.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\notes.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\package-lock.json", "JSON", 0, 0, 4754, 0, 0, 0, 0, 1, 4755
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\package.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\service\conversionData.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\service\currencyData.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\service\historyData.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\service\yearData.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\fialta-currency-conversion\tailwind.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 1, 20
"Total", "-", 10, 106, 4777, 15, 576, 61, 11, 106, 5662